exp_id	profile	combo	macro_RMSE_pp_mean	macro_RMSE_pp_std	macro_RMSE_pp_min	macro_RMSE_pp_max	macro_MRE_pct_mean	macro_MRE_pct_std	macro_MRE_pct_min	macro_MRE_pct_max	macro_R2_mean	macro_R2_std	macro_R2_min	macro_R2_max	macro_MaxRE_pct_mean	macro_MaxRE_pct_std	macro_MaxRE_pct_min	macro_MaxRE_pct_max
exp01_traditional_smoke	v3_raw_no_env	pls_pls	140.10257016706237		140.10257016706237	140.10257016706237	5295.418686419506		5295.418686419506	5295.418686419506	-4164.679420285639		-4164.679420285639	-4164.679420285639	25554.02918167974		25554.02918167974	25554.02918167974
exp01_traditional_smoke	v3_raw_no_env	pls_ridge	5.588951867121323		5.588951867121323	5.588951867121323	185.9067750415076		185.9067750415076	185.9067750415076	-5.795290040021803		-5.795290040021803	-5.795290040021803	701.0218070852824		701.0218070852824	701.0218070852824
exp01_traditional_smoke	v3_raw_no_env	pls_xgboost	7.178735216229203		7.178735216229203	7.178735216229203	335.2844138731336		335.2844138731336	335.2844138731336	-1.6480774593847078		-1.6480774593847078	-1.6480774593847078	875.185561546523		875.185561546523	875.185561546523
exp01_traditional_smoke	v3_raw_no_env	svr_pls	55.759591071376725		55.759591071376725	55.759591071376725	1705.063817810701		1705.063817810701	1705.063817810701	-995.2913722750844		-995.2913722750844	-995.2913722750844	7913.865563929837		7913.865563929837	7913.865563929837
exp01_traditional_smoke	v3_raw_no_env	svr_ridge	9.694264948148604		9.694264948148604	9.694264948148604	221.1650837857947		221.1650837857947	221.1650837857947	-32.25134144009601		-32.25134144009601	-32.25134144009601	581.5184227369546		581.5184227369546	581.5184227369546
exp01_traditional_smoke	v3_raw_no_env	svr_xgboost	9.041957018207237		9.041957018207237	9.041957018207237	282.45597360389814		282.45597360389814	282.45597360389814	-14.792870285318484		-14.792870285318484	-14.792870285318484	875.185561546523		875.185561546523	875.185561546523
exp01_traditional_smoke	v3_raw_no_env	xgboost_pls	1130.5992533321323		1130.5992533321323	1130.5992533321323	19745.630645102032		19745.630645102032	19745.630645102032	-257610.30292187183		-257610.30292187183	-257610.30292187183	387913.1262957427		387913.1262957427	387913.1262957427
exp01_traditional_smoke	v3_raw_no_env	xgboost_ridge	9.17469393777728		9.17469393777728	9.17469393777728	212.56301841376424		212.56301841376424	212.56301841376424	-21.73372941659524		-21.73372941659524	-21.73372941659524	804.1473667506065		804.1473667506065	804.1473667506065
exp01_traditional_smoke	v3_raw_no_env	xgboost_xgboost	6.7812395576072895		6.7812395576072895	6.7812395576072895	309.55690294849256		309.55690294849256	309.55690294849256	-1.6059549691560675		-1.6059549691560675	-1.6059549691560675	867.8924385121013		867.8924385121013	867.8924385121013
exp01_traditional_smoke	v3_raw_tph	pls_pls	140.10257016706237		140.10257016706237	140.10257016706237	5295.418686419506		5295.418686419506	5295.418686419506	-4164.679420285639		-4164.679420285639	-4164.679420285639	25554.02918167974		25554.02918167974	25554.02918167974
exp01_traditional_smoke	v3_raw_tph	pls_ridge	5.588951867121323		5.588951867121323	5.588951867121323	185.9067750415076		185.9067750415076	185.9067750415076	-5.795290040021803		-5.795290040021803	-5.795290040021803	701.0218070852824		701.0218070852824	701.0218070852824
exp01_traditional_smoke	v3_raw_tph	pls_xgboost	7.178735216229203		7.178735216229203	7.178735216229203	335.2844138731336		335.2844138731336	335.2844138731336	-1.6480774593847078		-1.6480774593847078	-1.6480774593847078	875.185561546523		875.185561546523	875.185561546523
exp01_traditional_smoke	v3_raw_tph	svr_pls	55.759591071376725		55.759591071376725	55.759591071376725	1705.063817810701		1705.063817810701	1705.063817810701	-995.2913722750844		-995.2913722750844	-995.2913722750844	7913.865563929837		7913.865563929837	7913.865563929837
exp01_traditional_smoke	v3_raw_tph	svr_ridge	9.694264948148604		9.694264948148604	9.694264948148604	221.1650837857947		221.1650837857947	221.1650837857947	-32.25134144009601		-32.25134144009601	-32.25134144009601	581.5184227369546		581.5184227369546	581.5184227369546
exp01_traditional_smoke	v3_raw_tph	svr_xgboost	9.041957018207237		9.041957018207237	9.041957018207237	282.45597360389814		282.45597360389814	282.45597360389814	-14.792870285318484		-14.792870285318484	-14.792870285318484	875.185561546523		875.185561546523	875.185561546523
exp01_traditional_smoke	v3_raw_tph	xgboost_pls	1130.5992533321323		1130.5992533321323	1130.5992533321323	19745.630645102032		19745.630645102032	19745.630645102032	-257610.30292187183		-257610.30292187183	-257610.30292187183	387913.1262957427		387913.1262957427	387913.1262957427
exp01_traditional_smoke	v3_raw_tph	xgboost_ridge	9.17469393777728		9.17469393777728	9.17469393777728	212.56301841376424		212.56301841376424	212.56301841376424	-21.73372941659524		-21.73372941659524	-21.73372941659524	804.1473667506065		804.1473667506065	804.1473667506065
exp01_traditional_smoke	v3_raw_tph	xgboost_xgboost	6.7812395576072895		6.7812395576072895	6.7812395576072895	309.55690294849256		309.55690294849256	309.55690294849256	-1.6059549691560675		-1.6059549691560675	-1.6059549691560675	867.8924385121013		867.8924385121013	867.8924385121013
