model,component,RMSE_pp,MAE_pp,MRE_pct,R2,MaxRE_pct
acoustic,H2,12.841211862774678,12.076892272825376,685.8106664995117,,1121.431764346942
acoustic,CH4,5.54201078103258,5.407980926225429,6.750261272550598,-3.4538219692791916,8.845393918359726
acoustic,CO2,3.9503884752110303,3.296503445589839,320.90661734154185,,588.3635967898315
acoustic,N2,11.483724358126794,11.133075289540576,68.11577660519862,-18.123370027497213,106.06032084456487
optical,H2,113.41591790515214,107.27731581528982,6091.958576554435,,9778.461021407564
optical,CH4,32.02811781062133,17.38837464650472,21.708224077265303,-147.75136348254367,80.48634389202593
optical,CO2,119.14273278492351,108.06175835927328,10519.550157135853,,13510.706513304674
optical,N2,12.886593184054572,12.590924302736916,72.58319605953483,-23.081034851447267,82.81667983446923
thermal,H2,3.705322559370055,3.6896606144367885,209.52481383291382,,222.59969468990099
thermal,CH4,4.178481090554379,3.2719497966638738,3.9863211353017807,-1.5318326892102125,7.221422822510738
thermal,CO2,4.420348785408089,4.419983686386467,430.2746946619029,,442.42330912790715
thermal,N2,5.519827908927063,4.83769454494514,26.410930865512405,-3.418246938175182,38.14402683462368
fixed_average,H2,39.773489477511184,38.88460170735878,2208.140472818257,,2988.247316754693
fixed_average,CH4,12.557704417156907,8.430938838646473,10.480976610227035,-21.867497140939044,31.631713371329035
fixed_average,CO2,37.4725921662863,33.452459547187125,3256.515824184666,,4325.08152549303
fixed_average,N2,9.619938347108665,9.520564712407545,55.703301176748624,-12.419720993669332,63.81642733212652
dynamic_average,H2,3.7248588348243423,3.709580180309918,210.65598652529354,,223.38264541425548
dynamic_average,CH4,4.179376546723478,3.2752639979380955,3.9905747988752585,-1.5329179582724537,7.222918434375653
dynamic_average,CO2,4.4189646587344225,4.418600925639007,430.14008625594073,,442.1830689422065
dynamic_average,N2,5.533228641753591,4.862306974687022,26.573361738640955,-3.439725730052116,38.19958842030245
dynamic_xgboost,H2,15.411719679832458,15.411719679832458,875.185561546523,,875.185561546523
dynamic_xgboost,CH4,3.2512007007470456,2.191462516784668,2.6662790020050795,-0.5328006656617876,7.209802094325118
dynamic_xgboost,CO2,4.957678497660238,4.517537593841553,439.77133101207676,,693.0535911317542
dynamic_xgboost,N2,5.0943419866770725,4.350906133651733,23.514483931929085,-2.763354253107628,35.34290209702672
